nombre
organización abu nidal, oan, consejo revolucionario de al fatah, brigadas revolucionarias árabes, septiembre negro, organización revolucionaria de los musulmanes socialistas
brigada de los mártires de al-aqsa
al-aqsa e.v.
babbar jalsa
partido comunista de las filipinas, nuevo ejército del pueblo, nep, new people's army, npa
dirección de la seguridad interior del ministerio de inteligencia y seguridad iraní.
al gama al islamiya, al-gama'a al-islamiyya, grupo islámico, gi
i̇slami büyük doğu akıncılar cephesi, ibda-c, frente de guerreros del gran oriente islámico
hamás, hamas-izz al-din al-qassem
ala militar de hizbulá, ala militar de hezbolá, ala militar de hizbulah, ala militar de hizbolah, ala militar de hezbalah, ala militar de hisbolah, ala militar de hizbu'llah, ala militar de hizb allah, consejo de la yihad
hizbul muyahidín, hm
khalistan zindabad force, kzf, fuerza de jalistán zindabad
partido de los trabajadores del kurdistán, pkk, kadek, kongra-gel
tigres para la liberación de la patria tamil, ltte
ejército de liberación nacional
palestinian islamic jihad, pij, yihad islámica para la liberación de palestina
frente popular de liberación de palestina, fplp
frente popular de liberación de palestina, comando general, fplp – comando general
devrimci halk\xa0kurtuluș partisi-cephesi, dhkp/c, devrimci sol, izquierda revolucionaria, dev sol, ejército/frente/partido revolucionario de liberación popular
sendero luminoso, sl
teyrbazen azadiya kurdistan, tak, halcones de la libertad del kurdistán
